Taxon,Cluster
SRR6818072,8
SRR6818167,8
SRR6818071,8
SRR6817938,8
SRR6818174,8
SRR6817781,8
SRR6818418,8
SRR6817792,8
SRR6818057,8
SRR6818269,8
SRR6818159,8
SRR6818089,8
SRR6818324,8
SRR6818156,8
SRR6817739,8
SRR6818373,8
SRR6817841,8
SRR6817884,8
SRR6818107,8
SRR6817799,8
SRR6817715,8
SRR6818343,8
SRR6817794,8
SRR6817731,8
SRR6818054,8
SRR6817811,8
SRR6817849,8
SRR6818381,8
SRR6818114,8
SRR6818218,8
SRR6817957,8
SRR6818081,8
SRR6817943,8
SRR6818079,8
SRR6818023,8
SRR6818129,8
SRR6818329,8
SRR6817985,8
SRR6818408,8
SRR6817886,8
SRR6818110,8
SRR6818138,8
SRR6818359,8
SRR6817961,8
SRR6817722,8
SRR6817776,8
SRR6817846,8
SRR6818157,8
SRR6817825,8
SRR6818277,8
SRR6818199,15
SRR6817819,15
SRR6818045,15
SRR6818273,15
SRR6817937,15
SRR6817763,15
SRR6817876,15
SRR6817916,15
SRR6818404,15
SRR6818299,15
SRR6818179,15
SRR6817899,7
SRR6818185,7
SRR6818069,7
SRR6818101,7
SRR6817867,7
SRR6818188,7
SRR6818438,7
SRR6818322,7
SRR6817746,7
SRR6817778,7
SRR6818175,7
SRR6818272,7
SRR6817802,7
SRR6818406,7
SRR6817975,7
SRR6818059,7
SRR6818083,7
SRR6818192,7
SRR6818423,7
SRR6818004,7
SRR6818198,7
SRR6817774,7
SRR6818328,7
SRR6817908,7
SRR6817918,7
SRR6818073,7
SRR6818068,7
SRR6818201,7
SRR6818135,7
SRR6817955,7
SRR6818320,7
SRR6817995,7
SRR6818319,7
SRR6817702,7
SRR6817927,7
SRR6818172,7
SRR6817847,7
SRR6818305,7
SRR6818399,7
SRR6818271,7
SRR6818168,7
SRR6817764,7
SRR6817751,7
SRR6818067,7
SRR6817878,7
SRR6818428,7
SRR6818134,7
SRR6818302,7
SRR6818387,7
SRR6817777,7
SRR6817939,7
SRR6818350,7
SRR6818096,7
SRR6818236,1
SRR6818007,1
SRR6818237,1
SRR6818026,1
SRR6818232,1
SRR6818332,1
SRR6818280,1
SRR6817801,1
SRR6818234,1
SRR6817814,1
SRR6817872,1
SRR6818150,1
SRR6818028,1
SRR6818365,1
SRR6818141,1
SRR6818284,1
SRR6818285,1
SRR6817784,1
SRR6817903,1
SRR6818366,1
SRR6817919,1
SRR6818268,1
SRR6817750,1
SRR6818084,1
SRR6817894,1
SRR6818200,1
SRR6817871,1
SRR6818315,1
SRR6818235,1
SRR6818160,1
SRR6818352,1
SRR6818306,1
SRR6818027,1
SRR6817890,1
SRR6818313,1
SRR6818226,1
SRR6817859,1
SRR6818064,1
SRR6818348,1
SRR6818432,1
SRR6817946,1
SRR6817980,1
